topic_id,topic_keyword,kw_weight
0,life,0.009
0,personal,0.008
0,experience,0.007
0,practice,0.006
0,think,0.005
0,issues,0.005
0,societal,0.005
0,understanding,0.005
0,not,0.005
0,however,0.005
1,practice,0.009
1,meditation,0.009
1,nature,0.007
1,often,0.006
1,understanding,0.006
1,law,0.005
1,life,0.005
1,experience,0.005
1,personal,0.005
1,approach,0.005
2,know,0.028
2,not,0.021
2,think,0.017
2,people,0.016
2,feel,0.01
2,say,0.008
2,one,0.008
2,now,0.007
2,right,0.007
2,something,0.007
3,practice,0.012
3,not,0.009
3,sense,0.007
3,understanding,0.007
3,life,0.007
3,might,0.006
3,change,0.006
3,self,0.006
3,think,0.006
3,others,0.005
