ptag_vip,vipassana_first_attended,vipassana_motivation,oneday_vip_courses,location_vip_course,primary_language,service_in_vip,obj_before_vip,obj_after_vip,awareness_before_vip,awareness_after_vipassana,attachment_before_vip,attachment_after_vip,empathy_before_vip,empathy_after_vip,positive_affect_vip,negative_affect_vip,maitri_before_vip,maitri_after_vip
alind,2023,To see things more objectively and to improve focus ,No,Jaipur,English,No,1,3,1,4,1,2,1,3,5,4,1,4
saideep,2022,To explore the mind and see how it could add value to being a better human ,No,Ajmer,English,No,2,2,3,4,4,4,3,3,2,4,4,4
shaurya,2019,Feeling low,No,Haryana,Hindi,Yes,1,1,5,5,3,2,5,5,5,1,5,5
mani,2004,Inner peace ,No,Bihar,English,Yes,4,5,3,5,4,4,5,5,4,1,5,5
himanshu,2022, I love adventure and thought doing nothing would be also a good adventure in itself,No,Lucknow,English,No,3,3,2,4,2,2,3,3,4,2,3,3
sandhya,2006,"To practise silence and be with self, to learn meditation",No,Bihar,Hindi,No,3,4,1,3,4,2,4,5,4,2,0,0
anuradha,2016,To attend a formal course/ learn a practice,No,Igatpuri,"English, Gujarati, Hindi",No,2,2,2,4,3,3,4,5,5,1,3,3
shveta,2012,Self control,No,Hyderabad,English Hindi,Yes,3,3,3,3,2,2,3,2,3,1,2,4
ranjana,2019,Self growth ,No,Jaipur and Pushkar ,"Hindi, English ",Yes,3,2,2,1,3,1,2,1,2,4,3,2
puneet,1994,No Motivation,Yes,SIngapore,English,No,2,4,2,5,1,4,2,4,4,1,5,5
tonu,2019,As a new learning experience ,No,Jaipur ,Hindi,No,2,4,2,3,4,2,4,2,4,2,3,4
anirudh,2023,To understand the technique to self-reflect.,No,Jaipur,"Hindi, English",No,3,4,1,5,2,5,2,5,5,3,2,5
nandkishore,1990,In search of peace,No,Jaipur,Hindi,No,3,4,2,4,1,5,2,4,4,3,2,5
premchand,2022,Family,Yes,Gujarat,Hindi,No,3,5,1,5,2,3,3,3,5,3,2,4
jyoti,2011,"Inclination towards Sadhna, and wanted to learn more.",Yes,Jaipur,Hindi,Yes,2,5,2,5,2,5,2,5,5,4,1,3
sushila,1992,Internal feeling,Yes,Pushkar,Hindi,Yes,1,5,2,4,4,2,1,4,5,2,1,2
himmat,2022,Internal challenge,Yes,Ajmer,Hindi,Yes,1,5,2,4,4,2,1,4,5,4,1,2
fgd1,2001,Self regulation,Yes,Hyderabad,Hindi,Yes,2,3,3,4,3,3,4,4,3,2,2,3
fgd2,2014,Experimentation,No,Delhi,English,No,2,3,3,3,3,2,3,4,3,2,3,3
